Generation,Round,Node,Algorithm,added_s_overhead,added_g_overhead,added_h_overhead
11,38,1,Simple,2000,4952,4449
11,38,17,Simple,1416,3984,1289
12,8,10,Greedy,176,536,608
12,8,10,Heuristic,176,536,608
12,9,3,Greedy,256,672,753
12,9,3,Heuristic,256,672,753
12,9,7,Greedy,200,712,793
12,9,7,Heuristic,200,712,793
12,9,8,Greedy,264,728,809
12,9,8,Heuristic,264,728,809
12,10,4,Greedy,248,680,770
12,10,4,Heuristic,248,680,770
12,10,5,Greedy,168,672,762
12,10,5,Heuristic,168,672,762
12,11,1,Greedy,240,872,971
12,11,1,Heuristic,240,872,971
12,11,2,Greedy,288,752,851
12,11,2,Heuristic,288,752,851
12,11,9,Greedy,280,960,1059
12,11,9,Heuristic,280,960,1059
12,11,13,Greedy,240,864,963
12,11,13,Heuristic,240,864,963
12,12,11,Greedy,288,1208,1316
12,12,11,Heuristic,288,1208,1316
12,12,12,Greedy,336,936,1044
12,12,12,Heuristic,336,936,1044
12,12,14,Greedy,368,976,1084
12,12,14,Heuristic,368,976,1084
12,12,15,Greedy,248,920,1028
12,12,15,Heuristic,248,920,1028
12,13,3,Simple,528,1312,1429
12,13,6,Greedy,232,968,1085
12,13,6,Heuristic,232,968,1085
12,13,18,Greedy,312,1048,1165
12,13,18,Heuristic,312,1048,1165
12,14,0,Greedy,368,1224,875
12,14,0,Heuristic,368,1224,875
12,16,17,Greedy,424,1368,803
12,16,17,Heuristic,424,1368,803
12,18,4,Simple,848,1960,1108
12,18,10,Simple,696,2136,1622
12,19,1,Simple,672,2152,1816
12,19,5,Simple,768,2112,1100
12,19,7,Simple,752,2312,1469
12,19,9,Simple,872,2240,1904
12,19,18,Simple,608,2008,1165
12,20,12,Simple,912,2216,2396
12,20,13,Simple,792,2304,2484
12,20,14,Simple,856,2256,1253
12,22,19,Greedy,856,2328,956
12,22,19,Heuristic,856,2328,956
12,23,11,Simple,992,2968,3006
12,24,17,Simple,984,2648,803
12,25,8,Simple,1328,3288,3513
12,26,19,Simple,1128,2968,956
12,28,6,Simple,1320,3368,1085
12,28,15,Simple,1368,3480,2718
12,30,2,Simple,1592,3792,1358
12,31,0,Simple,1520,3944,875
12,37,16,Greedy,1680,3992,780
12,37,16,Heuristic,1680,3992,780
12,38,16,Simple,1752,4152,780
13,9,3,Greedy,200,712,793
13,9,3,Heuristic,200,712,793
13,10,4,Greedy,240,624,714
13,10,4,Heuristic,240,624,714
13,10,9,Greedy,152,600,690
13,10,9,Heuristic,152,600,690
13,11,5,Greedy,336,848,947
13,11,5,Heuristic,336,848,947
13,11,10,Greedy,224,928,1027
13,11,10,Heuristic,224,928,1027
13,11,11,Greedy,360,968,1067
13,11,11,Heuristic,360,968,1067
13,12,0,Greedy,288,848,956
13,12,0,Heuristic,288,848,956
13,12,18,Greedy,264,968,1076
13,12,18,Heuristic,264,968,1076
13,13,6,Greedy,264,1088,1205
